Day;Sleep;Writing;Studying;Sport;Music;Hygiene;Languages;Reading;Socializing;Mood
14/3/2023;8,5;0,0;4,0;0,9;1,5;1,0;0,3;3,5;4,5;7
15/3/2023;7,5;0,0;1,5;1,0;1,8;1,0;0,0;2,3;0,5;7,5
16/3/2023;7,0;0,5;3,5;1,0;0,5;1,0;0,0;0,0;4,0;8
17/3/2023;7,0;0,0;3,5;0,0;1,0;1,0;0,0;0,0;9,0;9
18/3/2023;6,0;0,5;0,0;0,0;0,0;0,8;0,0;0,0;5,0;4
19/3/2023;7,5;0,0;0,0;0,0;0,0;1,0;0,0;0,0;4,0;6,5
20/3/2023;7,0;0,0;4,3;1,1;0,5;1,0;0,0;1,0;2,0;7
21/3/2023;7,0;0,0;5,0;1,0;0,0;1,0;0,0;0,5;2,5;8
22/3/2023;7,5;0,0;3,0;1,1;1,0;1,0;0,0;0,0;5,0;8,5
23/3/2023;7,5;0,0;3,0;1,0;0,5;1,0;0,0;1,8;4,0;7
24/3/2023;7,0;0,5;3,0;1,7;0,0;1,0;0,0;0,0;5,8;8
25/3/2023;10,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;12,0;10
26/3/2023;8,0;1,0;2,0;0,0;1,5;1,0;0,0;0,0;5,0;9
27/3/2023;8,5;0,5;2,8;1,3;0,8;1,0;0,0;0,0;2,0;9
28/3/2023;7,5;0,0;1,5;1,0;2,0;1,0;0,0;0,0;0,0;8
29/3/2023;8,0;1,5;2,0;0,0;1,0;1,0;0,0;0,3;2,0;7,5
30/3/2023;7,0;1,2;2,0;1,7;0,0;1,0;0,0;3,0;3,0;7
31/3/2023;8,0;0,3;0,0;0,0;2,0;1,0;0,0;0,0;12,0;7,5
1/4/2023;9,0;0,3;2,0;0,0;1,0;1,0;0,0;0,0;12,0;8
2/4/2023;8,0;0,0;0,0;0,0;2,0;1,0;0,0;0,0;15,0;8,5
3/4/2023;8,0;0,5;0,0;0,0;1,5;0,8;0,0;1,0;11,0;7,5
4/4/2023;6,0;1,0;2,0;1,2;1,5;1,0;0,0;0,0;0,5;8,5
5/4/2023;6,5;2,5;1,0;1,5;1,0;1,0;0,0;0,8;1,0;8
6/4/2023;6,5;2,0;7,0;0,0;0,0;1,0;0,0;0,5;1,0;7,5
